run_id,backend,batch_ms,per_sample_ms,batch_size
1,cpu,0.305083,0.038135,8
2,cpu,0.175833,0.021979,8
3,cpu,0.163375,0.020422,8
4,cpu,0.163667,0.020458,8
5,cpu,0.161333,0.020167,8
6,cpu,0.158250,0.019781,8
7,cpu,0.159167,0.019896,8
8,cpu,0.158875,0.019859,8
9,cpu,0.158375,0.019797,8
10,cpu,0.155083,0.019385,8
11,cpu,0.155709,0.019464,8
12,cpu,0.155084,0.019385,8
13,cpu,0.156542,0.019568,8
14,cpu,0.154542,0.019318,8
15,cpu,0.154500,0.019313,8
16,cpu,0.153875,0.019234,8
17,cpu,0.153584,0.019198,8
18,cpu,0.152208,0.019026,8
19,cpu,0.149459,0.018682,8
20,cpu,0.150542,0.018818,8
21,cpu,0.154792,0.019349,8
22,cpu,0.153792,0.019224,8
23,cpu,0.149666,0.018708,8
24,cpu,0.149667,0.018708,8
25,cpu,0.148708,0.018588,8
26,mps,3.935375,0.491922,8
27,mps,3.330500,0.416313,8
28,mps,3.329958,0.416245,8
29,mps,3.482459,0.435307,8
30,mps,3.407166,0.425896,8
31,mps,3.179125,0.397391,8
32,mps,3.169416,0.396177,8
33,mps,3.190375,0.398797,8
34,mps,3.402458,0.425307,8
35,mps,3.413625,0.426703,8
36,mps,3.190083,0.398760,8
37,mps,3.183875,0.397984,8
38,mps,3.222041,0.402755,8
39,mps,3.193708,0.399213,8
40,mps,3.848792,0.481099,8
41,mps,3.186708,0.398338,8
42,mps,3.156583,0.394573,8
43,mps,3.225041,0.403130,8
44,mps,3.206166,0.400771,8
45,mps,3.358709,0.419839,8
46,mps,3.207542,0.400943,8
47,mps,3.178625,0.397328,8
48,mps,3.201916,0.400239,8
49,mps,3.258542,0.407318,8
50,mps,3.820541,0.477568,8
