run_id,backend,batch_ms,per_sample_ms,batch_size
1,cpu,2.755209,2.755209,1
2,cpu,2.286167,2.286167,1
3,cpu,2.343041,2.343041,1
4,cpu,2.244250,2.244250,1
5,cpu,2.348583,2.348583,1
6,cpu,2.226916,2.226916,1
7,cpu,2.360083,2.360083,1
8,cpu,2.239541,2.239541,1
9,cpu,2.324291,2.324291,1
10,cpu,2.227000,2.227000,1
11,cpu,2.345375,2.345375,1
12,cpu,2.237917,2.237917,1
13,cpu,2.326041,2.326041,1
14,cpu,2.224959,2.224959,1
15,cpu,2.330792,2.330792,1
16,cpu,2.241250,2.241250,1
17,cpu,2.342375,2.342375,1
18,cpu,2.220041,2.220041,1
19,cpu,2.331542,2.331542,1
20,cpu,2.230708,2.230708,1
21,cpu,2.319709,2.319709,1
22,cpu,2.243208,2.243208,1
23,cpu,2.327625,2.327625,1
24,cpu,2.225000,2.225000,1
25,cpu,2.325000,2.325000,1
26,cpu,2.239667,2.239667,1
27,cpu,2.346583,2.346583,1
28,cpu,2.232709,2.232709,1
29,cpu,2.327125,2.327125,1
30,cpu,2.223542,2.223542,1
31,cpu,2.337167,2.337167,1
32,cpu,2.248292,2.248292,1
33,cpu,2.336750,2.336750,1
34,cpu,2.227292,2.227292,1
35,cpu,2.324209,2.324209,1
36,cpu,2.233334,2.233334,1
37,cpu,2.342709,2.342709,1
38,cpu,2.228417,2.228417,1
39,cpu,2.314000,2.314000,1
40,cpu,2.218875,2.218875,1
41,cpu,2.328292,2.328292,1
42,cpu,2.314625,2.314625,1
43,cpu,2.361125,2.361125,1
44,cpu,2.257250,2.257250,1
45,cpu,2.314500,2.314500,1
46,cpu,2.218792,2.218792,1
47,cpu,2.340542,2.340542,1
48,cpu,2.209625,2.209625,1
49,cpu,2.518167,2.518167,1
50,cpu,2.224916,2.224916,1
51,mps,71.811750,71.811750,1
52,mps,71.192166,71.192166,1
53,mps,72.281250,72.281250,1
54,mps,71.705875,71.705875,1
55,mps,71.545459,71.545459,1
56,mps,70.768959,70.768959,1
57,mps,71.244167,71.244167,1
58,mps,70.681917,70.681917,1
59,mps,76.355083,76.355083,1
60,mps,73.082375,73.082375,1
61,mps,72.386250,72.386250,1
62,mps,74.320583,74.320583,1
63,mps,77.257750,77.257750,1
64,mps,78.420167,78.420167,1
65,mps,74.071542,74.071542,1
66,mps,75.687292,75.687292,1
67,mps,76.582500,76.582500,1
68,mps,77.041042,77.041042,1
69,mps,93.242166,93.242166,1
70,mps,74.955209,74.955209,1
71,mps,73.910125,73.910125,1
72,mps,75.772667,75.772667,1
73,mps,74.910833,74.910833,1
74,mps,74.303333,74.303333,1
75,mps,73.560333,73.560333,1
76,mps,72.168834,72.168834,1
77,mps,74.360541,74.360541,1
78,mps,74.444584,74.444584,1
79,mps,75.293791,75.293791,1
80,mps,72.076667,72.076667,1
81,mps,75.336167,75.336167,1
82,mps,71.950292,71.950292,1
83,mps,72.015458,72.015458,1
84,mps,71.927875,71.927875,1
85,mps,71.516792,71.516792,1
86,mps,71.821208,71.821208,1
87,mps,71.466750,71.466750,1
88,mps,71.027000,71.027000,1
89,mps,71.255000,71.255000,1
90,mps,72.891958,72.891958,1
91,mps,71.078958,71.078958,1
92,mps,71.553625,71.553625,1
93,mps,70.947500,70.947500,1
94,mps,71.698541,71.698541,1
95,mps,71.466125,71.466125,1
96,mps,70.896625,70.896625,1
97,mps,71.022959,71.022959,1
98,mps,70.965625,70.965625,1
99,mps,71.289250,71.289250,1
100,mps,70.988959,70.988959,1
101,cpu,8.814417,8.814417,1
102,cpu,6.555958,6.555958,1
103,cpu,7.298916,7.298916,1
104,cpu,5.113250,5.113250,1
105,cpu,4.256083,4.256083,1
106,cpu,4.436416,4.436416,1
107,cpu,3.465458,3.465458,1
108,cpu,3.469541,3.469541,1
109,cpu,3.145917,3.145917,1
110,cpu,3.178750,3.178750,1
111,cpu,3.508584,3.508584,1
112,cpu,3.020750,3.020750,1
113,cpu,2.784292,2.784292,1
114,cpu,2.807666,2.807666,1
115,cpu,2.629750,2.629750,1
116,cpu,2.680584,2.680584,1
117,cpu,2.526833,2.526833,1
118,cpu,2.600791,2.600791,1
119,cpu,2.404750,2.404750,1
120,cpu,2.509875,2.509875,1
121,cpu,2.349458,2.349458,1
122,cpu,2.414792,2.414792,1
123,cpu,2.252792,2.252792,1
124,cpu,2.365583,2.365583,1
125,cpu,2.226958,2.226958,1
126,cpu,2.314500,2.314500,1
127,cpu,2.184958,2.184958,1
128,cpu,2.304417,2.304417,1
129,cpu,2.234875,2.234875,1
130,cpu,2.323875,2.323875,1
131,cpu,2.186500,2.186500,1
132,cpu,2.285459,2.285459,1
133,cpu,2.193792,2.193792,1
134,cpu,2.289334,2.289334,1
135,cpu,2.217250,2.217250,1
136,cpu,2.290417,2.290417,1
137,cpu,2.178750,2.178750,1
138,cpu,2.266542,2.266542,1
139,cpu,2.202000,2.202000,1
140,cpu,2.294041,2.294041,1
141,cpu,2.168916,2.168916,1
142,cpu,2.275958,2.275958,1
143,cpu,2.200125,2.200125,1
144,cpu,2.287958,2.287958,1
145,cpu,2.205084,2.205084,1
146,cpu,2.276500,2.276500,1
147,cpu,2.182416,2.182416,1
148,cpu,2.271291,2.271291,1
149,cpu,2.193916,2.193916,1
150,cpu,2.278333,2.278333,1
151,mps,73.276334,73.276334,1
152,mps,71.267583,71.267583,1
153,mps,70.943541,70.943541,1
154,mps,70.753000,70.753000,1
155,mps,70.215583,70.215583,1
156,mps,71.755875,71.755875,1
157,mps,71.208666,71.208666,1
158,mps,70.909666,70.909666,1
159,mps,72.093125,72.093125,1
160,mps,71.981666,71.981666,1
161,mps,70.983208,70.983208,1
162,mps,71.106292,71.106292,1
163,mps,70.570500,70.570500,1
164,mps,70.494458,70.494458,1
165,mps,71.896917,71.896917,1
166,mps,72.489666,72.489666,1
167,mps,72.772875,72.772875,1
168,mps,71.401125,71.401125,1
169,mps,71.196417,71.196417,1
170,mps,72.630250,72.630250,1
171,mps,72.179375,72.179375,1
172,mps,71.517834,71.517834,1
173,mps,71.706833,71.706833,1
174,mps,72.225666,72.225666,1
175,mps,71.222584,71.222584,1
176,mps,71.653791,71.653791,1
177,mps,70.604167,70.604167,1
178,mps,71.864375,71.864375,1
179,mps,71.768458,71.768458,1
180,mps,71.447208,71.447208,1
181,mps,72.038042,72.038042,1
182,mps,71.173375,71.173375,1
183,mps,70.971042,70.971042,1
184,mps,71.637041,71.637041,1
185,mps,71.569333,71.569333,1
186,mps,71.297500,71.297500,1
187,mps,70.885458,70.885458,1
188,mps,70.988125,70.988125,1
189,mps,71.805667,71.805667,1
190,mps,71.168583,71.168583,1
191,mps,71.332917,71.332917,1
192,mps,71.084958,71.084958,1
193,mps,71.552125,71.552125,1
194,mps,87.405000,87.405000,1
195,mps,82.490583,82.490583,1
196,mps,72.555417,72.555417,1
197,mps,71.653583,71.653583,1
198,mps,71.481958,71.481958,1
199,mps,71.056834,71.056834,1
200,mps,71.574917,71.574917,1
201,cpu,10.638833,10.638833,1
202,cpu,4.029458,4.029458,1
203,cpu,3.629041,3.629041,1
204,cpu,3.218375,3.218375,1
205,cpu,3.302958,3.302958,1
206,cpu,2.942541,2.942541,1
207,cpu,3.055667,3.055667,1
208,cpu,2.749083,2.749083,1
209,cpu,2.858417,2.858417,1
210,cpu,2.622458,2.622458,1
211,cpu,2.737375,2.737375,1
212,cpu,2.523209,2.523209,1
213,cpu,2.626209,2.626209,1
214,cpu,2.454542,2.454542,1
215,cpu,2.511416,2.511416,1
216,cpu,2.395875,2.395875,1
217,cpu,2.450834,2.450834,1
218,cpu,2.291000,2.291000,1
219,cpu,2.358625,2.358625,1
220,cpu,2.262667,2.262667,1
221,cpu,2.315000,2.315000,1
222,cpu,2.208000,2.208000,1
223,cpu,2.315292,2.315292,1
224,cpu,2.198167,2.198167,1
225,cpu,2.271083,2.271083,1
226,cpu,2.186708,2.186708,1
227,cpu,2.302458,2.302458,1
228,cpu,2.186084,2.186084,1
229,cpu,2.298625,2.298625,1
230,cpu,2.188417,2.188417,1
231,cpu,2.311375,2.311375,1
232,cpu,2.188333,2.188333,1
233,cpu,2.280500,2.280500,1
234,cpu,2.196792,2.196792,1
235,cpu,2.282417,2.282417,1
236,cpu,2.192666,2.192666,1
237,cpu,2.272917,2.272917,1
238,cpu,2.257000,2.257000,1
239,cpu,2.311333,2.311333,1
240,cpu,2.184625,2.184625,1
241,cpu,2.279459,2.279459,1
242,cpu,2.207459,2.207459,1
243,cpu,2.290500,2.290500,1
244,cpu,2.202542,2.202542,1
245,cpu,2.290541,2.290541,1
246,cpu,2.178958,2.178958,1
247,cpu,2.286208,2.286208,1
248,cpu,2.188583,2.188583,1
249,cpu,2.295708,2.295708,1
250,cpu,2.178667,2.178667,1
251,mps,78.325708,78.325708,1
252,mps,71.176875,71.176875,1
253,mps,71.741083,71.741083,1
254,mps,71.015042,71.015042,1
255,mps,70.892292,70.892292,1
256,mps,70.906041,70.906041,1
257,mps,70.800916,70.800916,1
258,mps,71.903041,71.903041,1
259,mps,70.766000,70.766000,1
260,mps,71.022625,71.022625,1
261,mps,70.702542,70.702542,1
262,mps,70.694250,70.694250,1
263,mps,70.651125,70.651125,1
264,mps,71.298167,71.298167,1
265,mps,70.976333,70.976333,1
266,mps,73.074333,73.074333,1
267,mps,71.929917,71.929917,1
268,mps,71.037333,71.037333,1
269,mps,70.235375,70.235375,1
270,mps,71.482667,71.482667,1
271,mps,70.856458,70.856458,1
272,mps,70.728625,70.728625,1
273,mps,71.037500,71.037500,1
274,mps,71.137167,71.137167,1
275,mps,70.616583,70.616583,1
276,mps,71.550167,71.550167,1
277,mps,70.226750,70.226750,1
278,mps,70.493750,70.493750,1
279,mps,70.700958,70.700958,1
280,mps,71.085416,71.085416,1
281,mps,72.371000,72.371000,1
282,mps,71.893084,71.893084,1
283,mps,70.775792,70.775792,1
284,mps,70.743125,70.743125,1
285,mps,70.103333,70.103333,1
286,mps,70.161750,70.161750,1
287,mps,70.149042,70.149042,1
288,mps,69.848209,69.848209,1
289,mps,71.080167,71.080167,1
290,mps,70.377750,70.377750,1
291,mps,70.492917,70.492917,1
292,mps,71.032666,71.032666,1
293,mps,70.628167,70.628167,1
294,mps,71.517666,71.517666,1
295,mps,70.492542,70.492542,1
296,mps,71.591500,71.591500,1
297,mps,71.167500,71.167500,1
298,mps,70.878583,70.878583,1
299,mps,70.760500,70.760500,1
300,mps,70.635083,70.635083,1
301,cpu,9.827000,9.827000,1
302,cpu,6.827209,6.827209,1
303,cpu,6.939708,6.939708,1
304,cpu,4.713292,4.713292,1
305,cpu,4.359167,4.359167,1
306,cpu,3.802000,3.802000,1
307,cpu,3.642041,3.642041,1
308,cpu,3.357750,3.357750,1
309,cpu,3.357667,3.357667,1
310,cpu,3.070917,3.070917,1
311,cpu,3.112584,3.112584,1
312,cpu,2.833208,2.833208,1
313,cpu,2.952667,2.952667,1
314,cpu,2.697791,2.697791,1
315,cpu,2.783042,2.783042,1
316,cpu,2.580167,2.580167,1
317,cpu,2.675750,2.675750,1
318,cpu,2.502000,2.502000,1
319,cpu,2.568791,2.568791,1
320,cpu,2.429750,2.429750,1
321,cpu,2.450166,2.450166,1
322,cpu,2.314750,2.314750,1
323,cpu,2.396833,2.396833,1
324,cpu,2.288833,2.288833,1
325,cpu,2.354708,2.354708,1
326,cpu,2.272291,2.272291,1
327,cpu,2.299333,2.299333,1
328,cpu,2.219792,2.219792,1
329,cpu,2.311500,2.311500,1
330,cpu,2.245667,2.245667,1
331,cpu,2.351500,2.351500,1
332,cpu,2.233917,2.233917,1
333,cpu,2.310792,2.310792,1
334,cpu,2.220041,2.220041,1
335,cpu,2.316500,2.316500,1
336,cpu,2.223500,2.223500,1
337,cpu,2.310875,2.310875,1
338,cpu,2.211917,2.211917,1
339,cpu,2.310208,2.310208,1
340,cpu,2.224000,2.224000,1
341,cpu,2.306875,2.306875,1
342,cpu,2.223042,2.223042,1
343,cpu,2.293916,2.293916,1
344,cpu,2.212834,2.212834,1
345,cpu,2.308916,2.308916,1
346,cpu,2.215416,2.215416,1
347,cpu,2.310875,2.310875,1
348,cpu,2.207959,2.207959,1
349,cpu,2.304500,2.304500,1
350,cpu,2.218041,2.218041,1
351,mps,74.929542,74.929542,1
352,mps,71.104917,71.104917,1
353,mps,72.300625,72.300625,1
354,mps,74.525459,74.525459,1
355,mps,73.674334,73.674334,1
356,mps,72.215291,72.215291,1
357,mps,78.399875,78.399875,1
358,mps,74.566542,74.566542,1
359,mps,74.585833,74.585833,1
360,mps,72.980834,72.980834,1
361,mps,72.084500,72.084500,1
362,mps,73.515208,73.515208,1
363,mps,74.541875,74.541875,1
364,mps,80.595292,80.595292,1
365,mps,76.331917,76.331917,1
366,mps,74.473333,74.473333,1
367,mps,74.728041,74.728041,1
368,mps,75.415500,75.415500,1
369,mps,74.972000,74.972000,1
370,mps,74.891708,74.891708,1
371,mps,75.524875,75.524875,1
372,mps,74.004459,74.004459,1
373,mps,74.360208,74.360208,1
374,mps,75.344542,75.344542,1
375,mps,77.831959,77.831959,1
376,mps,75.036375,75.036375,1
377,mps,71.244500,71.244500,1
378,mps,74.535834,74.535834,1
379,mps,74.396750,74.396750,1
380,mps,71.872542,71.872542,1
381,mps,73.549209,73.549209,1
382,mps,73.410917,73.410917,1
383,mps,73.915917,73.915917,1
384,mps,72.773167,72.773167,1
385,mps,73.284708,73.284708,1
386,mps,72.595250,72.595250,1
387,mps,71.447250,71.447250,1
388,mps,71.387917,71.387917,1
389,mps,71.873417,71.873417,1
390,mps,71.627667,71.627667,1
391,mps,71.524250,71.524250,1
392,mps,71.749000,71.749000,1
393,mps,72.822792,72.822792,1
394,mps,71.921917,71.921917,1
395,mps,71.197042,71.197042,1
396,mps,70.907083,70.907083,1
397,mps,71.185500,71.185500,1
398,mps,72.189708,72.189708,1
399,mps,72.649833,72.649833,1
400,mps,73.027542,73.027542,1
