t,value
0,0.0
1,0.025018365083817717
2,1.070212129279097
3,1.4369209523541475
4,2.2131049419452262
5,2.7087507587747224
6,2.5349502242519684
7,3.0469631625497975
8,2.9770983835702234
9,2.8828308267148297
10,2.942590641820048
11,2.050993071491952
12,2.6315634543876687
13,1.9262862235601128
14,2.0704467571395684
15,1.5324732919242572
16,1.646836153343619
17,0.4330639573688227
18,-0.4225379103692559
19,-0.8510367994564602
20,-2.5454867125038625
21,-2.297936494268489
22,-1.8102622440109066
23,-1.675302069543394
24,-1.7223831428194043
25,-2.1196825503156336
26,-1.559971497168481
27,-1.1157499893244385
28,-0.9634512133142714
29,-0.8507703837232575
30,-0.7464227046867429
31,-0.8987003002081839
32,0.42276107934064633
33,-0.16930393551166556
34,0.4735583976930707
35,1.3147063170069218
36,2.3372915305063673
37,3.548456584978636
38,4.0131033928292235
39,3.6534681782263907
40,3.827516907487484
41,2.832606502258786
42,3.3275790672179766
43,2.7008043277136817
44,1.805595145223809
45,0.9893865514405641
46,0.49997823138045
47,-0.206144342394457
48,0.46086868168869666
49,-0.7306273222356039
50,-1.311160657770876
51,-1.803844028941947
52,-2.1910766542577673
53,-2.4476026223723557
54,-2.851159781050778
55,-3.098541000752042
56,-3.2872037770394655
57,-3.575915202845894
58,-2.7437238685133196
59,-1.5773302234291449
60,-1.3156732269067175
61,-0.9313670875388361
62,-0.3414617328627104
63,0.18144216866912316
64,0.2160194690333076
65,1.7647930481262126
66,2.4719115937622353
67,2.436012497402822
68,2.916316524320174
69,2.842249447011409
70,2.819781300005085
71,2.969973651270511
72,3.215249054169098
73,3.490173045614809
74,3.576987547222644
75,2.45446192934038
76,1.336337364153753
77,0.6554982627928374
78,0.013235137806669905
79,-1.0219911752351556
80,-1.811656870566428
81,-1.7315794654812287
82,-1.3037270143347528
83,-1.9373812295921864
84,-2.5472059825073536
85,-2.705755194851681
86,-3.048739141858594
87,-2.7713385364881433
88,-2.0474515478836257
89,-1.592799255130973
90,-0.4076706800608786
91,0.08898623088536181
92,0.8015867683626636
93,1.1675172239415905
94,2.3122397355166857
95,1.9684204175428337
96,2.273155138425022
97,2.095886154425693
98,2.9727789569721024
99,3.5561629309871376
100,3.197455658968801
101,3.9114204459073
102,3.2791482666079563
103,2.1134518697271867
104,1.6507257472086998
105,1.4405182780166281
106,0.7892550963303452
107,1.3855022242890478
108,0.9177596300998311
109,0.8739266349539039
110,0.5486659622287647
111,-1.2988826819193964
112,-1.9806190760444256
113,-3.6321980920357944
114,-3.7027935486736894
115,-2.7854287599641636
116,-2.9985505054220214
117,-2.888114825070978
118,-2.147349936862303
119,-1.1983983960262043
120,-0.8970355692843747
121,-0.4269192954013756
122,0.6343839875461568
123,1.2818833860068684
124,1.621819810125248
125,2.283551016999555
126,2.7136029822700194
127,3.148360444706773
128,4.326989797564345
129,3.956345412752502
130,3.495585763737963
131,4.027870257148848
132,3.1864441102573724
133,3.630192258094585
134,2.7859473683779914
135,2.122082916886729
136,1.7803604915733866
137,1.5830705487321195
138,1.1568634576539585
139,0.10384191725249663
140,-0.8365504794566124
141,-1.2219055288872893
142,-1.6404962294736962
143,-2.3210058096150434
144,-2.226396545605432
145,-1.7824431756275052
146,-1.7616016959297167
147,-0.8919065809177887
148,-0.6779201850810441
149,-0.6113623207776261
150,-0.22784617957863007
151,-0.08063556847141432
152,-0.013357238917688696
153,0.9696994407165984
154,1.1493092751985474
155,1.6463959102585195
156,2.2149336266236426
157,2.8945275210960273
158,3.409272153440957
159,3.5236587951177034
160,2.526932733342793
161,2.569701389647311
162,2.160806520092037
163,2.0266274311072108
164,2.2862139739281555
165,2.167761927387123
166,1.585686792380887
167,1.1231240102971216
168,-0.377802545451842
169,-0.741172874447545
170,-0.9025910264232405
171,-1.7649338778348131
172,-1.8554818088980838
173,-2.3107722872514493
174,-1.8943437416928073
175,-1.4628566299384596
176,-1.8585360132628417
177,-0.9802991670040289
178,-1.0099862083613502
179,0.2950702424128602
180,0.14077206225692704
181,0.5193302914178839
182,1.058862556193663
183,1.1365910176950518
184,0.8600687737283957
185,1.2532715720380407
186,2.554149451441373
187,2.8050932076138415
188,2.982733837215124
189,3.9863711540670135
190,4.0932541077276445
191,4.150576880193438
192,4.109913398121292
193,3.0229670371773922
194,2.580351712437164
195,2.0763546444342325
196,1.3621032537559594
197,0.19721972973358592
198,-0.01984156387592556
199,-1.3872653350777442
200,-2.105644520929666
201,-2.6286767533088335
202,-2.8386614665311
203,-2.3580386238041577
204,-1.569343337080801
205,-0.8984180774592696
206,-0.7629077904656617
207,-0.69497377174329
208,-1.8534927167084814
209,-0.731296769512929
210,1.012565544778513
211,1.3541457884920356
212,1.6836583524017437
213,2.3286940123999678
214,2.951544926893739
215,3.214565020033645
216,3.230344097295232
217,3.653642368309589
218,3.0841769484123334
219,2.387767108536146
220,3.4379317001204934
221,3.141666350393842
222,3.3669294357886432
223,3.763884242852667
224,3.6767708356185294
225,2.522043230604072
226,1.9458955853603832
227,0.5993467776801051
228,0.007470941374938984
229,0.014093308989233444
230,-0.6101469673106428
231,-2.572844042275965
232,-3.689144428483119
233,-3.7447157805912643
234,-2.6717367330595954
235,-2.401698486344479
236,-2.1176972039124204
237,-2.4911568868162908
238,-1.8393306381130854
239,-2.3940292933883613
240,-1.2649044137284375
241,0.15309878701718194
242,0.3471121304879906
243,1.6159617824817993
244,1.7583703823623207
245,2.4155720480644325
246,2.8199888733136156
247,3.262447867432257
248,4.289712270137894
249,4.643463089421086
250,4.027588842806283
251,2.430975902263871
252,2.9888700727422997
253,3.133900457714385
254,2.738397775075116
255,1.8927830580647016
256,2.172240369489283
257,0.47722568300939516
258,-0.38791644516892954
259,-1.488858980338402
260,-1.4625731433622322
261,-1.9471289758494794
262,-1.0399169886091262
263,-1.4505605712287326
264,-1.821852418451515
265,-1.5899718963785503
266,-1.9562235584270236
267,-2.2320963670867937
268,-1.433701113329545
269,-1.1870116674531994
270,-0.07292089508850841
271,0.5952570441595886
272,1.1536270889975495
273,1.7025493979956106
274,2.1657742457964835
275,2.8608316371130456
276,3.031025670392778
277,2.414387514448329
278,3.0014932035475455
279,3.100803193305001
280,2.6281273441046946
281,3.254176445607358
282,2.957585798765407
283,1.8874294529655016
284,1.7757295699379079
285,1.190627831363266
286,0.06075417529608895
287,0.07888460613559023
288,-0.7698455734064164
289,-0.6338513271518202
290,-1.4684660532359735
291,-1.1994595581898335
292,-1.3294318394477522
293,-1.5778192347346907
294,-2.139447673803824
295,-1.6162334587499971
296,-1.3267304837830285
297,-1.4006962208624443
298,-0.7989053474311025
299,-0.9809364985393578
300,-1.0265384760492744
301,-0.2574484754940248
302,0.5640810980432834
303,1.499595317233811
304,2.1293849580379245
305,3.2819516091780088
306,2.9091708171839943
307,3.6221045995857435
308,3.950816633310831
309,4.703733640774417
310,4.531096917298483
311,4.384064555817239
312,4.849272417511526
313,4.5123728137824735
314,3.984850525756048
315,2.9093288153593977
316,2.2140934816218114
317,0.633922397258164
318,-0.24790227150494137
319,-0.2741797436200154
320,-1.6275355209924518
321,-1.7228853930554144
322,-1.8696245275667052
323,-1.7857096724951431
324,-2.7252021131375335
325,-3.464097379337061
326,-2.287231944917968
327,-1.8064877209438421
328,-1.1381970087761337
329,0.13266616167104062
330,0.509785337015168
331,-0.08631301551890025
332,0.5222733515299748
333,1.6955637677128363
334,2.0513340548460484
335,2.4855232969323495
336,2.7261440921062206
337,3.9737605357005474
338,4.735805388172681
339,3.700219077137249
340,4.748322186350414
341,4.020929117146497
342,4.7582551639938355
343,3.4235480993631833
344,3.4992037550892405
345,2.5112276405323137
346,1.8180871543116022
347,1.6546114207082239
348,0.5486145678508341
349,0.14754171223462545
350,-0.2590140975215155
351,-0.18573334303039923
352,-0.08920664209563667
353,0.2355406474765559
354,-0.2802429804404295
355,-0.5028346497090707
356,-1.0234260157969675
357,-1.3306243730559513
358,-1.6407586738054365
359,-1.1105845025212704
360,-0.3392079559427261
361,0.34157464372059365
362,1.2944999546798597
363,1.1788372391879651
364,2.7986329609991025
365,3.3436230432599334
366,4.204194485412563
367,4.477081799336989
368,4.058221739698973
369,3.99787909105659
370,2.385400084774158
371,2.8908507343377328
372,2.9487277363842574
373,3.4503533144478387
374,2.1191788872896744
375,1.8191325945616794
376,1.2887773476224165
377,0.2408137872733478
378,-0.7752953957871103
379,-1.494604714185917
380,-1.0403048485429034
381,-0.805622386964296
382,-1.8964305717471186
383,-2.022389148976048
384,-1.7460348596950177
385,-1.540419858058536
386,-2.1946773880676216
387,-2.0378966091262565
388,-2.163132068027841
389,-0.8248985988267208
390,1.110223875456768
391,1.3511329093085682
392,0.6716884598558863
393,1.8602486347809422
394,3.217736886731165
395,4.25277734577824
396,4.406320826106809
397,4.74085405946858
398,4.758546450038048
399,5.0413169504270225
400,5.265654417366698
401,4.453314135644991
402,3.8138512002424942
403,3.308597746543316
404,2.812780340320568
405,2.469811554511055
406,2.4862859545757963
407,1.0873785003865217
408,1.0406327168363356
409,0.295792513319882
410,-1.6820308554727101
411,-1.9168328418517313
412,-2.06074809690336
413,-1.7499405015143779
414,-1.4672351623117919
415,-1.4812728002077318
416,-1.7712578348428356
417,-0.934282160852185
418,-0.9812993357626021
419,-1.070044904954708
420,-0.6497776802257201
421,-0.09523485820017219
422,0.7050159691396345
423,1.2803197165810265
424,1.8811831112961777
425,2.9786655153351442
426,3.860372751983664
427,4.3902090784292485
